assessment_score,current_proficiency,required_proficiency,gap_percent,project_count,certification_count,role_importance,skill_category,gap_level
42.84,40.76,66.98,39.14,0,1,0.891,Software Engineering,MEDIUM
35.56,42.44,69.79,39.18,0,1,0.954,Data Science,MEDIUM
55.86,51.63,76.69,32.68,2,3,1.0,Database,MEDIUM
65.86,56.52,68.69,17.72,0,1,0.881,Software Engineering,LOW
17.71,15.39,68.16,77.41,0,1,1.0,Testing,HIGH
18.58,33.54,53.7,37.53,2,1,0.858,General,MEDIUM
43.55,55.38,76.88,27.97,0,1,1.0,Security,MEDIUM
40.98,44.65,69.45,35.71,0,1,0.748,Testing,MEDIUM
55.4,47.1,71.83,34.43,0,1,0.789,Testing,MEDIUM
47.45,41.39,61.45,32.63,3,0,0.689,Backend,MEDIUM
62.65,57.41,65.77,12.7,0,1,0.993,Testing,LOW
38.67,36.88,70.88,47.96,1,1,1.0,Artificial Intelligence,MEDIUM
66.08,59.83,60.91,1.78,0,2,1.0,DevOps,LOW
45.2,48.62,84.19,42.25,1,0,1.0,Security,MEDIUM
25.59,35.95,51.43,30.1,2,1,0.899,Database,MEDIUM
62.84,48.05,57.45,16.36,0,1,0.985,Security,LOW
70.16,49.57,62.85,21.13,0,1,0.807,General,MEDIUM
53.02,53.29,70.41,24.32,1,1,0.935,Testing,MEDIUM
10.72,20.14,58.37,65.5,0,2,1.0,Software Engineering,HIGH
46.85,39.36,61.12,35.59,0,0,1.0,Software Engineering,MEDIUM
26.08,22.07,78.79,71.99,0,0,0.874,General,HIGH
25.75,28.64,77.69,63.14,1,0,1.0,DevOps,HIGH
60.9,53.5,80.61,33.62,2,0,0.978,Programming,MEDIUM
43.45,33.47,84.05,60.17,1,2,0.74,Backend,HIGH
63.05,65.74,77.77,15.48,0,0,1.0,Artificial Intelligence,LOW
47.01,45.65,61.21,25.43,2,0,0.928,Backend,MEDIUM
39.76,23.71,56.96,58.37,1,0,0.986,Backend,HIGH
38.11,46.14,90.96,49.28,1,0,1.0,Software Engineering,MEDIUM
31.24,42.71,67.22,36.46,1,0,0.97,Software Engineering,MEDIUM
54.76,38.11,69.59,45.24,2,0,0.763,Programming,MEDIUM
40.96,20.48,63.39,67.69,0,1,0.838,General,HIGH
37.15,42.17,69.72,39.52,0,1,1.0,General,MEDIUM
17.32,23.14,69.97,66.93,1,1,0.77,Artificial Intelligence,HIGH
50.66,45.71,86.52,47.17,1,1,0.817,General,MEDIUM
84.35,82.69,77.54,0.0,1,1,0.87,Programming,LOW
93.33,93.97,80.43,0.0,3,1,0.825,Software Engineering,LOW
58.18,61.7,75.22,17.98,2,2,0.81,General,LOW
87.73,93.2,78.52,0.0,2,3,1.0,Security,LOW
12.1,18.54,73.82,74.88,0,0,0.768,Testing,HIGH
51.1,52.82,68.34,22.72,2,0,1.0,DevOps,MEDIUM
29.12,28.52,78.94,63.87,0,0,1.0,Testing,HIGH
48.49,53.06,60.02,11.6,1,1,0.824,Data Science,LOW
31.96,30.64,67.87,54.85,1,0,1.0,DevOps,HIGH
31.24,30.4,67.68,55.08,1,0,0.796,Database,HIGH
25.16,33.64,84.36,60.12,0,1,1.0,Backend,HIGH
66.97,76.03,70.75,0.0,1,3,1.0,Backend,LOW
86.52,77.16,75.72,0.0,2,2,0.88,Data Science,LOW
39.59,35.63,73.17,51.31,3,0,0.973,Artificial Intelligence,HIGH
43.46,54.26,75.37,28.01,2,1,0.989,Database,MEDIUM
54.71,51.45,82.23,37.44,0,0,0.956,Programming,MEDIUM
44.99,57.18,71.4,19.91,0,4,1.0,Data Science,LOW
15.02,18.27,64.47,71.66,2,0,0.878,Data Science,HIGH
24.18,28.7,85.9,66.59,1,1,1.0,Security,HIGH
46.08,32.8,79.21,58.59,0,1,0.971,Data Science,HIGH
20.9,22.74,72.82,68.78,0,1,0.941,Security,HIGH
81.49,76.63,83.65,8.4,1,0,1.0,Database,LOW
47.3,47.7,70.67,32.5,0,1,0.795,Software Engineering,MEDIUM
4.52,0.0,56.55,100.0,1,0,0.796,Backend,HIGH
35.1,43.85,52.61,16.65,2,0,0.918,Database,LOW
67.46,76.73,76.77,0.06,3,0,0.895,Artificial Intelligence,LOW
52.69,38.31,78.3,51.08,1,0,1.0,General,HIGH
66.36,71.53,89.19,19.8,2,1,1.0,Data Science,LOW
81.1,86.61,72.6,0.0,2,0,0.722,Testing,LOW
46.4,50.63,74.13,31.7,3,1,0.865,Security,MEDIUM
29.47,42.82,76.51,44.04,3,0,0.763,Data Science,MEDIUM
90.0,90.31,91.01,0.78,2,2,1.0,Artificial Intelligence,LOW
75.02,80.5,89.04,9.59,1,0,0.997,DevOps,LOW
31.93,23.43,84.38,72.23,0,0,0.861,Artificial Intelligence,HIGH
37.28,28.0,72.55,61.41,1,1,0.909,Artificial Intelligence,HIGH
45.6,35.73,64.74,44.81,0,1,0.958,Testing,MEDIUM
38.61,28.83,62.21,53.66,0,1,0.924,Software Engineering,HIGH
15.64,20.05,79.91,74.91,0,0,0.984,Testing,HIGH
51.68,67.66,66.72,0.0,0,0,1.0,Software Engineering,LOW
44.95,21.45,77.77,72.42,1,0,1.0,Programming,HIGH
18.12,23.32,66.68,65.02,0,1,1.0,General,HIGH
89.62,73.59,73.97,0.5,3,3,0.769,General,LOW
47.43,53.46,83.05,35.63,1,1,0.939,Software Engineering,MEDIUM
53.64,50.8,73.38,30.77,1,1,0.987,DevOps,MEDIUM
47.25,46.25,80.08,42.25,1,0,0.847,Testing,MEDIUM
9.79,27.01,64.85,58.34,0,0,1.0,Artificial Intelligence,HIGH
15.59,21.06,80.08,73.7,2,0,0.811,Database,HIGH
66.43,46.91,57.74,18.75,3,1,0.991,General,LOW
26.23,21.81,80.25,72.82,0,0,0.896,Software Engineering,HIGH
53.57,42.43,67.13,36.78,1,1,0.882,Artificial Intelligence,MEDIUM
11.74,7.33,63.2,88.4,0,0,0.819,Data Science,HIGH
22.93,18.51,62.5,70.38,1,0,0.957,General,HIGH
49.58,49.25,81.11,39.28,0,0,0.832,Data Science,MEDIUM
74.1,68.09,84.0,18.93,2,1,0.819,Software Engineering,LOW
60.11,70.01,72.23,3.07,0,2,1.0,Testing,LOW
38.14,49.1,92.99,47.19,1,1,0.904,General,MEDIUM
73.42,64.58,88.11,26.7,1,0,1.0,Data Science,MEDIUM
6.61,12.3,85.03,85.54,0,0,0.859,Software Engineering,HIGH
54.19,51.55,70.27,26.64,1,0,1.0,Security,MEDIUM
50.62,56.26,85.38,34.11,2,1,0.943,Database,MEDIUM
25.93,31.82,71.11,55.25,3,0,1.0,Data Science,HIGH
45.67,27.11,84.7,67.99,0,1,1.0,Database,HIGH
71.21,77.5,77.66,0.22,0,2,0.79,Testing,LOW
42.46,35.77,82.25,56.51,3,1,0.804,Artificial Intelligence,HIGH
60.16,58.02,72.35,19.81,2,0,0.839,Data Science,LOW
34.67,34.27,61.71,44.47,1,2,0.92,Backend,MEDIUM
23.83,44.03,62.8,29.88,0,0,0.858,Backend,MEDIUM
26.93,27.49,70.45,60.98,0,0,0.958,Database,HIGH
35.16,30.84,67.27,54.15,1,0,0.646,DevOps,HIGH
45.01,48.3,62.49,22.71,0,0,0.886,Testing,MEDIUM
22.94,22.92,69.98,67.25,1,0,1.0,Security,HIGH
40.79,42.58,98.31,56.68,1,2,0.996,Database,HIGH
43.74,40.61,78.61,48.34,1,0,0.881,Data Science,MEDIUM
57.94,59.21,74.75,20.79,0,0,0.947,Testing,MEDIUM
22.29,25.85,62.92,58.92,1,4,0.827,Artificial Intelligence,HIGH
33.19,25.82,89.61,71.18,1,1,0.923,DevOps,HIGH
42.91,48.33,71.35,32.26,2,0,0.856,Database,MEDIUM
24.6,14.21,79.48,82.12,0,0,1.0,General,HIGH
46.16,40.41,87.26,53.69,0,0,1.0,Data Science,HIGH
24.12,28.14,71.95,60.89,0,1,1.0,Testing,HIGH
58.06,43.66,87.32,50.0,2,0,0.967,Backend,MEDIUM
0.0,7.96,68.32,88.35,0,0,0.873,DevOps,HIGH
47.14,39.83,65.79,39.45,4,1,0.909,Programming,MEDIUM
72.82,70.21,85.88,18.24,1,0,1.0,Testing,LOW
30.13,29.89,76.5,60.93,2,0,0.721,Testing,HIGH
30.81,24.79,76.52,67.61,2,0,0.996,Testing,HIGH
22.77,12.47,78.63,84.14,0,0,0.899,Artificial Intelligence,HIGH
64.58,55.0,58.43,5.87,1,1,0.777,Testing,LOW
31.03,34.67,56.4,38.54,3,2,0.752,Testing,MEDIUM
50.39,41.06,83.45,50.8,0,1,0.831,Data Science,HIGH
54.04,39.15,79.01,50.45,3,1,1.0,Testing,HIGH
64.64,57.0,68.64,16.96,1,0,0.848,General,LOW
47.2,35.09,70.91,50.52,3,1,1.0,Software Engineering,HIGH
28.69,44.19,81.18,45.57,1,0,0.967,General,MEDIUM
41.15,44.1,55.85,21.05,1,0,0.948,General,MEDIUM
0.0,16.35,69.65,76.52,2,0,0.831,Data Science,HIGH
36.76,37.56,76.13,50.66,0,0,0.876,DevOps,HIGH
59.77,62.2,73.28,15.11,1,1,1.0,Database,LOW
30.19,24.29,45.61,46.74,0,0,0.766,Database,MEDIUM
85.9,86.78,85.62,0.0,3,1,0.928,Testing,LOW
33.89,46.81,78.73,40.54,0,0,1.0,Data Science,MEDIUM
25.26,17.12,75.06,77.19,0,1,1.0,Artificial Intelligence,HIGH
44.49,45.15,78.04,42.14,0,0,0.901,Security,MEDIUM
60.44,79.34,68.49,0.0,2,2,0.679,General,LOW
22.55,28.22,69.97,59.67,0,1,0.939,Backend,HIGH
28.81,26.27,67.12,60.86,1,0,0.896,Data Science,HIGH
48.19,55.98,75.67,26.02,2,2,0.999,General,MEDIUM
76.14,67.5,77.35,12.73,2,0,0.958,Security,LOW
67.13,70.55,71.23,0.95,3,0,0.885,Database,LOW
36.83,35.2,73.39,52.03,4,2,0.757,Data Science,HIGH
54.75,34.04,65.96,48.4,2,0,0.891,Data Science,MEDIUM
81.99,79.19,67.64,0.0,1,1,0.889,Artificial Intelligence,LOW
29.94,33.98,54.08,37.17,2,0,0.903,Data Science,MEDIUM
55.59,45.54,60.62,24.88,1,1,0.855,Database,MEDIUM
19.08,9.58,79.08,87.89,1,0,0.952,Software Engineering,HIGH
67.0,77.77,79.19,1.8,2,0,1.0,Testing,LOW
83.24,77.9,81.44,4.34,1,2,0.984,DevOps,LOW
44.82,36.01,57.2,37.05,2,0,0.773,Security,MEDIUM
62.2,64.27,68.37,5.99,2,2,0.736,Backend,LOW
70.7,75.87,84.46,10.18,1,0,0.998,Backend,LOW
24.5,18.27,62.57,70.81,0,1,0.914,Data Science,HIGH
44.56,43.89,91.68,52.12,3,2,0.944,DevOps,HIGH
33.07,27.84,67.12,58.52,0,0,1.0,Database,HIGH
65.84,66.94,84.09,20.4,2,1,1.0,Programming,MEDIUM
46.87,29.5,66.03,55.32,3,1,0.829,Database,HIGH
0.0,0.0,61.48,100.0,0,0,0.552,General,HIGH
0.0,2.21,65.66,96.64,1,0,0.71,Security,HIGH
57.6,63.61,78.72,19.19,0,0,1.0,Security,LOW
32.09,37.31,70.17,46.83,1,0,0.932,Backend,MEDIUM
52.36,56.7,76.07,25.47,2,1,1.0,Database,MEDIUM
0.0,13.16,77.17,82.94,0,0,1.0,Data Science,HIGH
13.42,18.62,71.07,73.8,2,0,0.988,Programming,HIGH
47.64,41.57,65.15,36.19,2,1,0.663,Software Engineering,MEDIUM
0.0,3.3,78.87,95.82,0,0,0.765,General,HIGH
77.83,74.42,73.86,0.0,3,0,0.818,Database,LOW
76.49,74.41,83.47,10.85,2,1,1.0,Data Science,LOW
35.36,38.65,86.24,55.18,1,1,1.0,Testing,HIGH
47.18,52.89,91.17,41.98,1,1,1.0,Testing,MEDIUM
17.09,17.2,76.3,77.45,0,1,0.868,Software Engineering,HIGH
32.22,19.43,75.11,74.13,0,1,0.989,Testing,HIGH
84.89,81.93,79.83,0.0,3,0,1.0,Data Science,LOW
53.25,35.4,48.69,27.3,2,0,0.705,General,MEDIUM
0.0,5.87,70.03,91.61,1,0,0.871,Artificial Intelligence,HIGH
62.36,43.68,76.91,43.2,3,1,0.946,General,MEDIUM
37.65,49.67,59.79,16.93,0,2,1.0,Backend,LOW
19.73,17.49,72.78,75.96,1,2,0.995,General,HIGH
52.09,43.72,67.77,35.48,1,0,0.779,Database,MEDIUM
73.54,63.99,81.0,21.0,3,0,0.86,Data Science,MEDIUM
59.64,60.72,74.33,18.3,3,1,0.92,DevOps,LOW
58.16,65.93,71.82,8.2,2,1,0.834,DevOps,LOW
84.58,78.78,72.63,0.0,1,3,0.862,Security,LOW
48.56,55.13,61.86,10.89,1,0,0.847,Testing,LOW
41.14,40.9,70.85,42.28,0,0,0.973,Software Engineering,MEDIUM
43.55,56.42,75.27,25.05,0,0,0.808,DevOps,MEDIUM
71.43,73.66,76.76,4.05,1,2,1.0,Security,LOW
44.98,44.92,68.16,34.1,1,1,1.0,Testing,MEDIUM
38.0,34.19,76.46,55.28,1,0,0.961,General,HIGH
28.29,33.85,64.8,47.76,1,1,0.751,Database,MEDIUM
25.82,18.18,59.99,69.69,0,1,0.676,General,HIGH
33.26,35.45,73.13,51.53,0,1,0.907,Testing,HIGH
72.19,74.0,73.72,0.0,1,1,1.0,Programming,LOW
67.67,59.94,81.38,26.34,4,0,1.0,Backend,MEDIUM
69.96,66.7,76.5,12.81,2,0,0.985,Software Engineering,LOW
38.96,42.59,73.93,42.4,2,1,1.0,General,MEDIUM
45.57,58.0,83.36,30.43,0,2,1.0,Database,MEDIUM
41.83,40.29,82.38,51.09,0,0,0.882,Programming,HIGH
18.0,12.07,80.33,84.97,0,0,0.938,Backend,HIGH
12.52,6.29,63.26,90.06,1,0,0.511,Security,HIGH
100.0,93.74,91.14,0.0,3,0,0.913,Artificial Intelligence,LOW
76.54,68.69,78.1,12.05,1,0,0.911,Database,LOW
14.02,8.66,82.91,89.56,0,0,1.0,Programming,HIGH
19.18,20.59,67.17,69.35,0,4,1.0,General,HIGH
57.26,62.55,70.35,11.09,1,2,0.878,General,LOW
56.0,65.36,54.61,0.0,2,1,0.902,DevOps,LOW
50.53,50.22,61.29,18.05,1,1,0.97,DevOps,LOW
38.91,26.64,66.56,59.97,0,0,0.679,Database,HIGH
30.2,27.23,72.87,62.62,0,1,0.808,Software Engineering,HIGH
33.88,32.62,68.7,52.52,2,4,0.79,Programming,HIGH
56.14,66.48,68.05,2.31,1,2,1.0,Security,LOW
13.33,8.5,78.34,89.15,0,1,0.982,Software Engineering,HIGH
48.41,51.27,65.02,21.14,0,2,0.872,General,MEDIUM
31.57,30.37,59.25,48.75,3,0,0.664,Data Science,MEDIUM
38.98,43.76,87.14,49.78,1,0,0.951,Artificial Intelligence,MEDIUM
82.87,67.01,85.49,21.62,3,0,0.977,Database,MEDIUM
31.97,59.74,75.37,20.75,1,0,0.956,Database,MEDIUM
24.3,18.62,61.63,69.78,0,1,0.948,Artificial Intelligence,HIGH
52.67,49.29,71.43,31.0,2,0,1.0,Security,MEDIUM
0.0,1.81,49.53,96.34,0,0,0.982,Security,HIGH
66.24,57.17,70.81,19.27,1,2,1.0,Backend,LOW
68.35,82.11,75.99,0.0,1,1,1.0,Artificial Intelligence,LOW
32.05,44.07,60.44,27.09,0,1,0.804,Testing,MEDIUM
49.23,50.69,72.35,29.94,3,2,0.949,Database,MEDIUM
55.4,64.2,83.41,23.03,4,2,0.869,Database,MEDIUM
58.17,46.62,64.9,28.17,0,1,0.668,Security,MEDIUM
65.7,55.14,62.14,11.27,1,1,0.771,Database,LOW
51.07,42.29,80.15,47.24,0,1,0.866,Programming,MEDIUM
66.02,61.09,56.9,0.0,1,3,0.756,Database,LOW
27.84,36.66,81.15,54.82,1,0,0.924,Backend,HIGH
22.19,14.74,77.27,80.93,0,0,0.748,Database,HIGH
51.95,47.94,76.69,37.5,2,0,0.95,Security,MEDIUM
3.69,17.04,77.08,77.89,1,0,0.972,General,HIGH
59.11,45.5,62.61,27.32,1,0,0.89,Programming,MEDIUM
18.61,28.9,58.4,50.51,2,0,0.89,Software Engineering,HIGH
51.65,40.93,69.49,41.1,1,0,0.993,General,MEDIUM
29.06,36.4,83.11,56.21,3,0,0.974,Database,HIGH
70.05,60.7,80.21,24.33,1,1,1.0,Data Science,MEDIUM
37.44,34.08,64.5,47.17,2,0,0.696,General,MEDIUM
32.42,35.91,66.87,46.29,1,1,0.657,DevOps,MEDIUM
37.07,34.2,76.46,55.27,0,0,0.968,Testing,HIGH
11.28,11.82,72.67,83.74,1,0,0.914,Artificial Intelligence,HIGH
28.47,27.86,74.0,62.35,0,0,0.989,Software Engineering,HIGH
35.11,40.06,81.23,50.68,3,0,1.0,Security,HIGH
90.9,96.9,83.77,0.0,1,1,1.0,General,LOW
22.32,15.45,73.47,78.98,0,0,0.953,DevOps,HIGH
25.78,25.91,54.64,52.58,0,1,0.749,Programming,HIGH
20.55,28.86,74.51,61.26,2,0,0.729,Artificial Intelligence,HIGH
62.17,52.21,56.06,6.88,0,0,0.858,Database,LOW
24.77,35.68,82.38,56.69,3,0,1.0,Programming,HIGH
38.45,31.68,88.88,64.36,2,0,0.668,General,HIGH
34.34,37.68,80.87,53.41,0,0,0.965,Testing,HIGH
74.7,76.95,65.9,0.0,1,0,0.851,DevOps,LOW
38.23,39.39,53.66,26.59,0,0,0.729,Database,MEDIUM
87.31,100.0,86.17,0.0,3,1,0.774,General,LOW
91.88,89.86,74.39,0.0,0,0,0.79,Software Engineering,LOW
33.29,26.42,62.03,57.4,0,0,0.872,Security,HIGH
50.03,33.8,71.63,52.81,1,0,1.0,Software Engineering,HIGH
70.74,67.85,77.96,12.97,1,1,0.891,Backend,LOW
27.62,17.72,61.6,71.24,1,0,0.795,General,HIGH
33.45,38.31,76.79,50.11,2,2,0.925,DevOps,HIGH
1.84,3.34,69.97,95.23,0,0,0.926,General,HIGH
26.86,28.48,70.21,59.44,3,1,0.799,Software Engineering,HIGH
71.44,80.6,86.01,6.29,3,0,1.0,Testing,LOW
64.62,60.29,67.85,11.14,4,1,0.973,Security,LOW
2.83,8.89,69.96,87.29,0,1,0.918,Programming,HIGH
25.03,15.78,71.78,78.01,1,0,0.849,General,HIGH
33.46,44.84,75.79,40.84,0,0,1.0,Data Science,MEDIUM
35.8,29.02,75.71,61.67,3,0,0.802,Software Engineering,HIGH
19.4,16.61,66.93,75.19,0,1,0.812,Data Science,HIGH
64.47,61.79,62.36,0.92,1,0,0.838,Database,LOW
22.63,30.77,78.05,60.58,0,0,0.921,Data Science,HIGH
43.55,53.16,53.5,0.63,0,2,0.933,Software Engineering,LOW
53.52,37.42,81.09,53.86,1,0,1.0,Software Engineering,HIGH
74.4,80.95,62.19,0.0,2,1,0.984,Database,LOW
55.69,60.43,83.0,27.2,2,0,1.0,Testing,MEDIUM
61.59,52.69,68.01,22.53,2,2,0.979,Software Engineering,MEDIUM
59.71,62.39,80.9,22.88,0,2,0.841,Testing,MEDIUM
87.55,96.38,70.16,0.0,1,2,0.962,DevOps,LOW
43.79,36.34,63.54,42.81,2,2,0.931,Security,MEDIUM
58.33,56.31,75.16,25.08,3,0,0.948,Security,MEDIUM
8.63,10.05,63.35,84.14,0,0,0.614,Programming,HIGH
7.06,11.96,58.38,79.51,0,0,1.0,Software Engineering,HIGH
0.55,4.2,65.84,93.62,0,1,0.972,DevOps,HIGH
36.25,31.67,69.75,54.6,1,1,0.686,Security,HIGH
21.68,28.45,63.59,55.25,0,0,0.997,Software Engineering,HIGH
71.79,57.88,77.07,24.9,4,3,0.961,DevOps,MEDIUM
67.56,53.93,67.61,20.23,2,1,0.787,Data Science,MEDIUM
36.57,38.97,49.29,20.93,1,1,1.0,Backend,MEDIUM
6.91,0.0,78.73,100.0,1,0,0.929,Backend,HIGH
23.85,27.29,73.3,62.76,0,2,0.958,Backend,HIGH
50.77,52.61,72.03,26.96,3,1,1.0,Data Science,MEDIUM
29.22,26.22,75.54,65.29,1,0,0.75,DevOps,HIGH
28.73,28.95,63.32,54.29,0,0,0.771,Testing,HIGH
15.31,32.28,59.14,45.42,1,1,0.737,Security,MEDIUM
52.87,61.75,81.11,23.87,3,1,0.907,Testing,MEDIUM
44.39,42.09,75.9,44.54,0,0,0.932,Security,MEDIUM
30.64,35.01,74.64,53.1,2,1,0.862,Data Science,HIGH
60.26,59.35,84.06,29.4,1,0,1.0,Programming,MEDIUM
44.61,40.57,88.37,54.09,1,1,1.0,Database,HIGH
71.93,64.92,62.89,0.0,2,0,1.0,Software Engineering,LOW
19.3,23.05,63.44,63.67,1,0,0.761,Data Science,HIGH
24.51,24.95,71.24,64.97,0,0,1.0,Data Science,HIGH
63.85,60.12,84.65,28.98,3,0,1.0,Testing,MEDIUM
49.55,42.09,70.41,40.22,2,0,0.972,Database,MEDIUM
7.19,13.88,65.98,78.96,1,0,0.674,Programming,HIGH
31.73,25.49,79.5,67.93,1,0,0.805,Database,HIGH
59.07,52.25,72.78,28.21,3,1,1.0,Security,MEDIUM
71.12,51.82,69.02,24.91,0,1,0.918,Artificial Intelligence,MEDIUM
49.8,51.49,59.56,13.55,1,0,0.591,Backend,LOW
44.88,51.76,74.66,30.66,0,0,0.85,Security,MEDIUM
32.09,47.01,90.1,47.83,2,0,1.0,Artificial Intelligence,MEDIUM
9.45,32.11,73.33,56.22,1,0,1.0,Software Engineering,HIGH
18.67,21.78,73.69,70.45,1,2,0.897,Software Engineering,HIGH
37.12,44.98,65.89,31.74,3,0,0.932,General,MEDIUM
62.5,60.71,67.74,10.39,2,3,0.944,Software Engineering,LOW
53.38,60.23,65.69,8.31,1,0,0.805,Data Science,LOW
50.07,54.3,65.2,16.72,0,2,1.0,DevOps,LOW
50.27,39.31,80.15,50.96,3,1,1.0,Programming,HIGH
69.41,59.81,73.87,19.04,1,1,0.967,Programming,LOW
36.3,50.42,96.8,47.91,1,0,0.989,Security,MEDIUM
70.32,79.75,75.36,0.0,4,1,1.0,Testing,LOW
40.25,49.46,73.56,32.77,0,0,0.53,Testing,MEDIUM
13.14,22.82,88.09,74.1,2,0,1.0,Data Science,HIGH
15.83,19.89,81.24,75.52,2,0,0.86,Data Science,HIGH
37.08,40.38,65.84,38.68,0,1,0.912,Database,MEDIUM
42.42,38.88,63.97,39.22,0,1,0.821,Security,MEDIUM
36.73,41.56,71.24,41.67,2,0,0.787,Testing,MEDIUM
44.42,50.62,70.83,28.52,0,0,0.768,DevOps,MEDIUM
27.78,26.91,69.6,61.34,3,0,0.903,Software Engineering,HIGH
35.13,33.86,64.24,47.28,0,0,0.887,Database,MEDIUM
47.4,50.0,72.87,31.38,1,0,0.674,Programming,MEDIUM
59.58,51.79,75.99,31.84,2,1,0.856,Programming,MEDIUM
37.83,28.91,72.15,59.93,1,0,1.0,Software Engineering,HIGH
9.53,15.8,63.06,74.94,2,2,1.0,Data Science,HIGH
4.87,10.28,72.36,85.79,1,1,1.0,General,HIGH
65.49,51.99,68.61,24.23,2,0,0.91,Testing,MEDIUM
